Длина волны;1 к 1;1 к 2;1 к 3;1 к 4;1 к 5;латекс;канифоль
385;0.28244;0.20461;0.1622;0.13812;0.12285;1.67157;0.88461
386;0.27997;0.20251;0.16046;0.13673;0.12155;1.661;0.87881
387;0.27721;0.20065;0.15855;0.13513;0.12029;1.64799;0.8726
388;0.27469;0.19853;0.15677;0.13354;0.1188;1.63641;0.86682
389;0.27232;0.19658;0.15524;0.13202;0.11743;1.62424;0.86075
390;0.26973;0.19444;0.15331;0.13045;0.11583;1.61209;0.85454
391;0.26724;0.19257;0.1516;0.12895;0.11469;1.59932;0.84886
392;0.26508;0.19075;0.15012;0.1277;0.11343;1.58612;0.84331
393;0.26271;0.18884;0.14862;0.1264;0.1122;1.57697;0.8378
394;0.26019;0.18694;0.14699;0.12491;0.11095;1.56526;0.83212
395;0.25783;0.18509;0.14551;0.12369;0.10963;1.55188;0.82639
396;0.25572;0.18332;0.144;0.12227;0.10852;1.54205;0.82056
397;0.25343;0.18158;0.14246;0.12086;0.10727;1.53058;0.81554
398;0.25108;0.17979;0.14081;0.11949;0.10602;1.51955;0.80965
399;0.25316;0.18213;0.1434;0.12241;0.10896;1.51266;0.80885
400;0.2738;0.2028;0.16449;0.14348;0.13022;1.52538;0.82602
401;0.27557;0.20482;0.16682;0.146;0.13286;1.51813;0.82446
402;0.27342;0.20314;0.16544;0.14468;0.13174;1.50684;0.81903
403;0.27126;0.20149;0.16409;0.14345;0.13051;1.49709;0.8136
404;0.269;0.19977;0.1626;0.14211;0.12932;1.48471;0.80876
405;0.26682;0.19786;0.161;0.14072;0.12793;1.47514;0.8031
406;0.26459;0.19621;0.15956;0.13948;0.12685;1.46506;0.79805
407;0.26253;0.19444;0.15811;0.13803;0.12567;1.45287;0.79274
408;0.26038;0.19276;0.15675;0.13666;0.12448;1.44121;0.78763
409;0.25838;0.19125;0.1553;0.13556;0.12335;1.43257;0.78256
410;0.25626;0.18951;0.15384;0.13428;0.12216;1.42268;0.7778
411;0.25403;0.18787;0.15254;0.13313;0.12108;1.4117;0.77266
412;0.25192;0.18628;0.15115;0.13187;0.12;1.40286;0.76784
413;0.25017;0.1848;0.14986;0.13081;0.11888;1.39305;0.76299
414;0.24832;0.18327;0.14861;0.12961;0.11783;1.3826;0.75876
415;0.24625;0.18173;0.14725;0.12836;0.11671;1.37274;0.75386
416;0.24458;0.18025;0.14604;0.12737;0.11571;1.36395;0.74921
417;0.24257;0.17865;0.14473;0.12621;0.11465;1.35365;0.74425
418;0.2408;0.17714;0.14351;0.12509;0.11378;1.34526;0.73967
419;0.23901;0.17589;0.14244;0.12407;0.11281;1.33607;0.73546
420;0.23718;0.1745;0.14127;0.12302;0.11182;1.32625;0.73117
421;0.23544;0.17302;0.13998;0.12196;0.11084;1.31682;0.72679
422;0.23364;0.17168;0.13876;0.12083;0.10983;1.30867;0.72226
423;0.23198;0.17033;0.13763;0.11993;0.10892;1.29951;0.7179
424;0.23029;0.16898;0.13651;0.11879;0.108;1.29022;0.7137
425;0.22845;0.16751;0.13528;0.11778;0.10698;1.28151;0.70924
426;0.22676;0.16621;0.13417;0.11687;0.10606;1.27278;0.70485
427;0.2252;0.16501;0.1331;0.11581;0.10529;1.26477;0.70081
428;0.22365;0.16382;0.13216;0.11491;0.10446;1.25656;0.69691
429;0.22208;0.16252;0.13112;0.114;0.10359;1.24782;0.69275
430;0.22046;0.16132;0.13005;0.11302;0.10268;1.239;0.68883
431;0.21886;0.16008;0.12894;0.11205;0.10173;1.23047;0.68477
432;0.21732;0.15884;0.12796;0.11115;0.10095;1.22247;0.68094
433;0.21582;0.15758;0.12683;0.11032;0.10001;1.21437;0.6768
434;0.2142;0.15639;0.12582;0.10936;0.09923;1.20647;0.67265
435;0.21274;0.15518;0.12488;0.10857;0.0985;1.19817;0.66876
436;0.21114;0.15405;0.12387;0.10767;0.09761;1.19037;0.66481
437;0.20973;0.15295;0.12297;0.10677;0.09686;1.18279;0.66104
438;0.20828;0.15186;0.12199;0.10596;0.09612;1.17467;0.65741
439;0.20688;0.15065;0.12102;0.10507;0.09525;1.16716;0.65364
440;0.20537;0.14941;0.12004;0.10419;0.09448;1.15897;0.64957
441;0.20407;0.14839;0.1192;0.10338;0.09372;1.15189;0.64603
442;0.20277;0.14738;0.1183;0.10258;0.09305;1.14424;0.64256
443;0.2014;0.14629;0.11732;0.10181;0.09229;1.13704;0.63895
444;0.19994;0.14519;0.11636;0.10101;0.09154;1.12935;0.63533
445;0.19859;0.14421;0.11559;0.10028;0.09084;1.12225;0.63185
446;0.19733;0.14328;0.11475;0.09955;0.09013;1.11526;0.62831
447;0.19594;0.14218;0.11382;0.09874;0.08945;1.10757;0.62454
448;0.19466;0.14113;0.11304;0.0979;0.08875;1.10072;0.62114
449;0.19342;0.14012;0.11211;0.09708;0.08795;1.09377;0.61777
